address,name,kind,confidence,evidence_artifact,notes
0x02000800,sub_02000800,function,confirmed,analysis/arm9/boot-entry.json,ARM9 header entry; neutral semantic name
0x02000c60,sub_02000c60,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02000d18,sub_02000d18,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02000d30,sub_02000d30,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02000d64,sub_02000d64,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02000f8c,sub_02000f8c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0200119c,sub_0200119c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020011f4,sub_020011f4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0200124c,sub_0200124c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020012b4,sub_020012b4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001310,sub_02001310,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001368,sub_02001368,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020013c8,sub_020013c8,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001460,sub_02001460,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0200149c,sub_0200149c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020014d8,sub_020014d8,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001510,sub_02001510,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020015e8,sub_020015e8,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001620,sub_02001620,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001658,sub_02001658,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0200166c,sub_0200166c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020016bc,sub_020016bc,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001700,sub_02001700,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0200172c,sub_0200172c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001740,sub_02001740,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0200175c,sub_0200175c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020017a0,sub_020017a0,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001858,sub_02001858,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020018c4,sub_020018c4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020018f4,sub_020018f4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001974,sub_02001974,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001a00,sub_02001a00,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001a64,sub_02001a64,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001a7c,sub_02001a7c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001af0,sub_02001af0,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001b54,sub_02001b54,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001b80,sub_02001b80,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001bd4,sub_02001bd4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001c14,sub_02001c14,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001c44,sub_02001c44,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001c74,sub_02001c74,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001ca4,sub_02001ca4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001ce4,sub_02001ce4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001d1c,sub_02001d1c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001d60,sub_02001d60,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001d94,sub_02001d94,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001dcc,sub_02001dcc,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001e04,sub_02001e04,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001e54,sub_02001e54,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001e90,sub_02001e90,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001ec0,sub_02001ec0,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001efc,sub_02001efc,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001f44,sub_02001f44,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02001f8c,sub_02001f8c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002004,sub_02002004,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002074,sub_02002074,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002088,sub_02002088,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002124,sub_02002124,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002340,sub_02002340,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002370,sub_02002370,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020023e0,sub_020023e0,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002408,sub_02002408,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0200255c,sub_0200255c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020025e0,sub_020025e0,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002640,sub_02002640,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x020026d8,sub_020026d8,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002714,sub_02002714,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002794,sub_02002794,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002878,sub_02002878,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02002f64,sub_02002f64,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0200353c,sub_0200353c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02003a50,sub_02003a50,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02003a88,sub_02003a88,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02003bb4,sub_02003bb4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02003c10,sub_02003c10,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02003c40,sub_02003c40,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
