=== EFFECTIVE RECORD OFFSET ACCESS MAP ===
offset=0x40 count=26
  ref=0x0203a5d4 literal=0x02179f60 base_offset=0x40 dst=r1 -> access=0x0203a5dc ldrsb r0, [r1, r0] disp=+0x0
  ref=0x0203bd7c literal=0x02179f60 base_offset=0x40 dst=r2 -> access=0x0203bd84 ldrsb r2, [r2, r3] disp=+0x0
  ref=0x0203bf94 literal=0x02179f60 base_offset=0x40 dst=r2 -> access=0x0203bfa0 ldrsb r2, [r2, r7] disp=+0x0
  ref=0x0203d904 literal=0x02179f60 base_offset=0x40 dst=r0 -> access=0x0203d908 ldrsb r0, [r0, r1] disp=+0x0
  ref=0x0203da08 literal=0x02179f60 base_offset=0x40 dst=r2 -> access=0x0203da14 ldrsb r2, [r2, r0] disp=+0x0
  ref=0x0203f7f4 literal=0x02179f60 base_offset=0x40 dst=r0 -> access=0x0203f7f8 ldrsb r0, [r0, r8] disp=+0x0
  ref=0x0204d910 literal=0x02179f60 base_offset=0x40 dst=r2 -> access=0x0204d918 ldrsb r1, [r2, r1] disp=+0x0
  ref=0x02053de0 literal=0x02179f60 base_offset=0x40 dst=r1 -> access=0x02053de8 ldrsb r1, [r1, r3] disp=+0x0
  ref=0x0205c888 literal=0x02179f60 base_offset=0x40 dst=r2 -> access=0x0205c890 ldrsb r0, [r2, r0] disp=+0x0
  ref=0x0205caf8 literal=0x02179f60 base_offset=0x40 dst=r1 -> access=0x0205cb04 ldrsb r1, [r1, r2] disp=+0x0
  ref=0x0205fda0 literal=0x02179f60 base_offset=0x40 dst=r1 -> access=0x0205fda8 ldrsb r0, [r1, ip] disp=+0x0
  ref=0x020877a4 literal=0x02179f60 base_offset=0x40 dst=r0 -> access=0x020877a8 ldrsb r0, [r0, r8] disp=+0x0
  ref=0x0208bfc0 literal=0x02179f60 base_offset=0x40 dst=r4 -> access=0x0208bfd0 ldrsb r3, [r4, r3] disp=+0x0
  ref=0x0208dd04 literal=0x02179f60 base_offset=0x40 dst=r1 -> access=0x0208dd14 ldrsb r0, [r1, r0] disp=+0x0
  ref=0x0208f058 literal=0x02179f60 base_offset=0x40 dst=r0 -> access=0x0208f05c ldrsbne r0, [r0, r1] disp=+0x0
  ref=0x0208f4fc literal=0x02179f60 base_offset=0x40 dst=r0 -> access=0x0208f500 ldrsbne r0, [r0, r3] disp=+0x0
  ref=0x02094474 literal=0x02179f60 base_offset=0x40 dst=r1 -> access=0x0209447c ldrsb r4, [r1, r5] disp=+0x0
  ref=0x02096c58 literal=0x02179f60 base_offset=0x40 dst=r3 -> access=0x02096c5c ldrsb r2, [r3, r2] disp=+0x0
  ref=0x02096e98 literal=0x02179f60 base_offset=0x40 dst=r1 -> access=0x02096ea0 ldrsb r1, [r1, r2] disp=+0x0
  ref=0x02096fb4 literal=0x02179f60 base_offset=0x40 dst=r1 -> access=0x02096fbc ldrsb r1, [r1, r0] disp=+0x0
  ref=0x0209ac98 literal=0x02179f60 base_offset=0x40 dst=r0 -> access=0x0209ac9c ldrsb r0, [r0, r3] disp=+0x0
  ref=0x0209ad4c literal=0x02179f60 base_offset=0x40 dst=r8 -> access=0x0209ad54 ldrsb r3, [r8, r3] disp=+0x0
  ref=0x0209c7e8 literal=0x02179f60 base_offset=0x40 dst=r2 -> access=0x0209c7f0 ldrsb r1, [r2, r3] disp=+0x0
  ref=0x020b8d84 literal=0x02179f60 base_offset=0x40 dst=r1 -> access=0x020b8d90 ldrsb r1, [r1, r6] disp=+0x0
  ref=0x020c3ae4 literal=0x02179f60 base_offset=0x40 dst=r2 -> access=0x020c3af0 ldrsb r2, [r2, r0] disp=+0x0
